booth_code,x,y
3B-E11,837,301
3B-E07,835,322
3B-D02,833,352
3B-D42,827,117
3B-D40,828,133
3B-D38,828,144
3B-D36,827,157
3B-D34,828,168
3B-D32,828,179
3B-D28,827,194
3B-D24,832,217
3B-D20,831,248
3B-D16,827,270
3B-D14A,827,286
3B-D12,826,299
3B-D08,829,321
3B-D41,810,118
3B-D39,810,132
3B-D35,810,150
3B-D33,810,167
3B-D29,810,183
3B-D27,809,202
3B-D17,809,265
3B-D15A,811,277
3B-D15,809,286
3B-D09,810,306
3B-C02,804,345
3B-C44,800,112
3B-C42,801,123
3B-C40,799,135
3B-C38,800,146
3B-C36,800,157
3B-C34,799,167
3B-C32,799,179
3B-C30,800,190
3B-C28,800,201
3B-C24,804,218
3B-C20,804,250
3B-C18,800,264
3B-C16A,799,275
3B-C16,800,284
3B-C14,800,296
3B-C10,800,311
3B-C41,783,116
3B-C39,782,135
3B-C37,782,146
3B-C35,781,157
3B-C33,783,167
3B-C31,781,177
3B-C27,782,201
3B-C15,783,270
3B-C07,783,308
3B-C05A,781,330
3B-B02,777,352
3B-B44,773,112
3B-B42,773,125
3B-B40,773,136
3B-B38,774,146
3B-B36,773,157
3B-B34,773,167
3B-B32,773,178
3B-B28,772,202
3B-B24,777,218
3B-B20,777,249
3B-B18,773,266
3B-B16,773,277
3B-B10,773,304
3B-B08A,772,319
3B-B08,773,330
3B-B43,754,110
3B-B41,754,123
3B-B39,753,135
3B-B37,754,146
3B-B35,756,157
3B-B33,756,167
3B-B31,755,179
3B-B29,755,190
3B-B27,756,203
3B-B17,756,265
3B-B15,755,277
3B-B13A,756,287
3B-B11,754,299
3B-B09,756,317
3B-B07,755,330
3B-A02,749,351
3B-A44,745,112
3B-A42,744,123
3B-A40,744,135
3B-A38,745,145
3B-A36,745,155
3B-A34,744,168
3B-A32,744,179
3B-A30,744,190
3B-A28,745,201
3B-A24,752,216
3B-A20,750,248
3B-A18,744,266
3B-A16A,745,275
3B-A16,745,286
3B-A14,745,296
3B-A12,744,308
3B-A10,745,318
3B-A08,749,329
3B-A43,729,111
3B-A41,728,124
3B-A39,728,135
3B-A37,728,146
3B-A35,727,157
3B-A33,727,168
3B-A31,727,179
3B-A29,728,188
3B-A27,729,201
3B-A23,727,217
3B-A17,728,254
3B-A15A,729,275
3B-A15,728,287
3B-A13,728,297
3B-A11,728,308
3B-A09,728,319
3B-A07,728,330
3B-A01,728,357
