booth_code,x,y
5CON-S24,1062,379
5CON-S14,1014,392
5CON-S17,1027,390
5CON-S19,1040,392
5CON-S21,1049,393
5CON-S23,1060,395
5CON-S53,967,399
5CON-S52,972,408
5CON-S51,978,416
5CON-S50,988,418
5CON-S08,1016,416
5CON-S10,1027,416
5CON-S12,1040,416
5CON-S15,1050,415
5CON-S16,1060,415
5CON-S10,1017,425
5CON-S09,1046,427
5CON-S11,1056,425
5CON-S49,988,443
5CON-S48,978,442
5CON-S47,966,452
5CON-S46,965,462
5CON-S45,968,475
5CON-S44,967,483
5CON-S43,968,495
5CON-S05,1012,453
5CON-S06,1026,453
5CON-S03,1012,463
5CON-S04,1021,464
5CON-S01,1014,482
5CON-S02,1025,482
