No.,Exhibitor Name (KOR),Exhibitor Name (ENG),Country,Hall,Show Name,Exhibit Item (KOR),Exhibit Item (ENG),Category,DESCRIPTION,TEXT_FOR_KEYBERT,KEYWORDS
372,"Xiamen Hithium Energy StorageTechnology Co,Ltd","Xiamen Hithium Energy StorageTechnology Co,Ltd",China,C2.510 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for commercialand industrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for commercialand industrial applications Secondary Batteries,"lithium, batteries, stationary, storage, utilitiesand"
373,XING MOBILITY INC.,XING MOBILITY INC.,Taiwan,C2.270 ,ees Europe ,,Lithium-based batteries | Other energy storage technologies |Stationary energy storage for utilities and grid operators |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Other energy storage technologies |Stationary energy storage for utilities and grid operators |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications Secondary Batteries,"batteries, energystorage, ups, lithium, utilities"
374,"Zhejiang Chisage New Energy Tech. Co., Ltd.","Zhejiang Chisage New Energy Tech. Co., Ltd.",China,C2.680 ,ees Europe ,,Inverters | Lithium-based batteries,Secondary Batteries,This company specializes in Secondary Batteries.,Inverters | Lithium-based batteries Secondary Batteries,"inverters, batteries, lithium, secondary, based"
375,"Zhejiang Lisiner Industrial Development Co.,Ltd.","Zhejiang Lisiner Industrial Development Co.,Ltd.",China,C2.356 ,ees Europe ,,"Power electronics for storage systems | Stationary energystorage for residential buildings | ICT, software for energystorage systems | Stationary energy storage for commercial andindustrial applications","Secondary Batteries, Manufacturing Equipment","This company specializes in Secondary Batteries, Manufacturing Equipment.","Power electronics for storage systems | Stationary energystorage for residential buildings | ICT, software for energystorage systems | Stationary energy storage for commercial andindustrial applications Secondary Batteries, Manufacturing Equipment","energystorage, batteries, electronics, storage, stationary"
376,"Zhejiang Narada Power Source Co., Ltd","Zhejiang Narada Power Source Co., Ltd",China,C2.520 ,ees Europe ,,Lithium-based batteries | Battery recycling/second use |Stationary energy storage for utilities and grid operators |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Battery recycling/second use |Stationary energy storage for utilities and grid operators |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications Secondary Batteries,"batteries, energystorage, ups, battery, lithium"
377,"Zhejiang Wolong Energy Storage System Co., Ltd.","Zhejiang Wolong Energy Storage System Co., Ltd.",China,C2.674 ,ees Europe ,,Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications,"Secondary Batteries, Manufacturing Equipment","This company specializes in Secondary Batteries, Manufacturing Equipment.","Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications Secondary Batteries, Manufacturing Equipment","batteries, lithium, stationaryenergy, storage, stationary"
378,"Zhuhai Gecen Technology Co., Ltd.","Zhuhai Gecen Technology Co., Ltd.",China,C2.276 ,ees Europe ,,Lithium-based batteries,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries Secondary Batteries,"lithium, batteries, secondary, based"
379,ZPUE S.A.,ZPUE S.A.,Poland,C2.410 ,ees Europe ,,Power electronics for storage systems | Stationary energystorage for utilities and grid operators | Stationary energystorage for commercial and industrial applications,"Secondary Batteries, Manufacturing Equipment","This company specializes in Secondary Batteries, Manufacturing Equipment.","Power electronics for storage systems | Stationary energystorage for utilities and grid operators | Stationary energystorage for commercial and industrial applications Secondary Batteries, Manufacturing Equipment","energystorage, batteries, stationary, storage, electronics"
380,ZYC Energy Company Limited,ZYC Energy Company Limited,China,C2.119 ,ees Europe ,,Lithium-based batteries,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries Secondary Batteries,"lithium, batteries, secondary, based"
381,"AC NEWENERGY (Hunan) Co., Ltd","AC NEWENERGY (Hunan) Co., Ltd",China,C3.139 ,ees Europe ,,Power electronics for storage systems | EPCcontracting/project development for energy storage systems |Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications,"Secondary Batteries, Manufacturing Equipment","This company specializes in Secondary Batteries, Manufacturing Equipment.","Power electronics for storage systems | EPCcontracting/project development for energy storage systems |Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications Secondary Batteries, Manufacturing Equipment","batteries, electronics, storage, utilities, stationaryenergy"
382,"Beijing Energy Connecting International ExhibitionCo., Ltd.","Beijing Energy Connecting International ExhibitionCo., Ltd.",China,C3.250 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications",Secondary Batteries,This company specializes in Secondary Batteries.,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications Secondary Batteries","energystorage, stationaryenergy, batteries, lithium, storage"
383,"Beijing Goldwind Carbon Neutral Energy Co.,Ltd.","Beijing Goldwind Carbon Neutral Energy Co.,Ltd.",China,C3.230 ,ees Europe ,,"Stationary energy storage for utilities and grid operators | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications",Secondary Batteries,This company specializes in Secondary Batteries.,"Stationary energy storage for utilities and grid operators | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications Secondary Batteries","batteries, storage, stationary, utilities, storagefor"
384,Beyond Technology Limited,Beyond Technology Limited,China,C3.135,ees Europe ,,Small solar devices | Inverters | Lithium-based batteries |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS),"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Small solar devices | Inverters | Lithium-based batteries |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) Secondary Batteries, Materials & Components","batteries, ups, inverters, solar, storage"
385,CALB GmbH,CALB GmbH,Germany,C3.210,ees Europe ,,Other battery technologies | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Other battery technologies | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications Secondary Batteries,"stationaryenergy, energystorage, batteries, stationary, lithium"
386,"CF Energy Co., Ltd.","CF Energy Co., Ltd.",China,C3.177 ,ees Europe ,,"Other battery technologies | Lithium-based batteries | Batterytesting, inspection systems, safety | Battery managementsystems | Battery Materials","Secondary Batteries, Materials & Components, Inspection & Measurement Equipment","This company specializes in Secondary Batteries, Materials & Components, Inspection & Measurement Equipment.","Other battery technologies | Lithium-based batteries | Batterytesting, inspection systems, safety | Battery managementsystems | Battery Materials Secondary Batteries, Materials & Components, Inspection & Measurement Equipment","batterytesting, batteries, battery, lithium, technologies"
387,"CIEC Haihua International Exhibition Co., Ltd","CIEC Haihua International Exhibition Co., Ltd",China,C3.151,ees Europe ,,"Lithium-based batteries | Battery Materials | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications | Hydrogen storage,infrastructure, components","Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Lithium-based batteries | Battery Materials | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications | Hydrogen storage,infrastructure, components Secondary Batteries, Materials & Components","batteries, lithium, energystorage, battery, storage"
388,"Dongguan Lithium Valley Energy Co., Ltd.","Dongguan Lithium Valley Energy Co., Ltd.",China,C3.179 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications | EPCcontracting/project development for charging infrastructure |Solar mobility and charging solutions as well as vehicleintegratedPV (ViPV),Secondary Batteries,This company specializes in Secondary Batteries.,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications | EPCcontracting/project development for charging infrastructure |Solar mobility and charging solutions as well as vehicleintegratedPV (ViPV) Secondary Batteries,"stationaryenergy, stationary, utilities, storage, batteries"
389,"Dongguan ZWAYN New Energy Co., Ltd.","Dongguan ZWAYN New Energy Co., Ltd.",China,C3.373 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications Secondary Batteries,"batteries, lithium, residentialbuildings, stationary, storage"
390,Elite Solar Power Hongkong Limited (EcoFlare),Elite Solar Power Hongkong Limited (EcoFlare),China,C3.220 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications,"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications Secondary Batteries, Materials & Components","stationaryenergy, stationary, batteries, storage, utilities"
391,"Enerlution Energy Technology Co., Ltd.","Enerlution Energy Technology Co., Ltd.",China,C3.251 ,ees Europe ,,"Inverters | Lithium-based batteries | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for utilities and grid operators | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications | Home energymanagement solutions (HEMS) | Energy management,monitoring, controlling and load management | Smart energymanagement systems for buildings and districts",Secondary Batteries,This company specializes in Secondary Batteries.,"Inverters | Lithium-based batteries | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for utilities and grid operators | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications | Home energymanagement solutions (HEMS) | Energy management,monitoring, controlling and load management | Smart energymanagement systems for buildings and districts Secondary Batteries","energymanagement, energystorage, utilities, batteries, inverters"
392,Enershare Tech Company Limited,Enershare Tech Company Limited,China,C3.131 ,ees Europe ,,Lithium-based batteries | Battery management systems |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Battery management systems |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications Secondary Batteries,"batteries, energystorage, ups, battery, lithium"
393,Entrade S.R.L.,Entrade S.R.L.,Italy,C3.240 ,ees Europe ,,Inverters | Lithium-based batteries | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Inverters | Lithium-based batteries | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications Secondary Batteries,"batteries, energystorage, inverters, residential, buildings"
394,"EP Equipment Co., Ltd.","EP Equipment Co., Ltd.",China,C3.175 ,ees Europe ,,Lithium-based batteries | Battery Chargers | Stationary energystorage for utilities and grid operators | Stationary energystorage for commercial and industrial applications | Mobilecharging system with buffer storage (e.g. trailers),Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Battery Chargers | Stationary energystorage for utilities and grid operators | Stationary energystorage for commercial and industrial applications | Mobilecharging system with buffer storage (e.g. trailers) Secondary Batteries,"energystorage, batteries, utilities, battery, lithium"
395,"Guangdong Basen Green New Energy Co.,Ltd","Guangdong Basen Green New Energy Co.,Ltd",China,C3.154 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications Secondary Batteries,"batteries, lithium, residentialbuildings, stationary, storage"
396,"Hunan Wincle Energy Storage Technology Co.,Ltd.","Hunan Wincle Energy Storage Technology Co.,Ltd.",China,C3.451 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications",Secondary Batteries,This company specializes in Secondary Batteries.,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications Secondary Batteries","energystorage, stationaryenergy, batteries, lithium, storage"
397,Hynn Technology Europe GmbH,Hynn Technology Europe GmbH,Germany,C3.471 ,ees Europe ,,"Battery testing, inspection systems, safety | Batterymanagement systems | Manufacturing equipment for batterymodule production/assembly and system installation/assembly| Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications",Manufacturing Equipment,This company specializes in Manufacturing Equipment.,"Battery testing, inspection systems, safety | Batterymanagement systems | Manufacturing equipment for batterymodule production/assembly and system installation/assembly| Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications Manufacturing Equipment","batterymanagement, batterymodule, industrialapplications, battery, utilities"
398,"Jiangsu Essis New Energy Technology Co., Ltd","Jiangsu Essis New Energy Technology Co., Ltd",China,C3.275 ,ees Europe ,,Lithium-based batteries | Battery management systems,"Secondary Batteries, Inspection & Measurement Equipment","This company specializes in Secondary Batteries, Inspection & Measurement Equipment.","Lithium-based batteries | Battery management systems Secondary Batteries, Inspection & Measurement Equipment","batteries, lithium, battery, inspection, equipment"
399,JIANGSU GXY NEW ENERGY CO LTD,JIANGSU GXY NEW ENERGY CO LTD,China,C3.255 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications Secondary Batteries,"batteries, lithium, residentialbuildings, stationary, storage"
400,"Jiangsu Highstar Battery Manufacturing Co.,Ltd","Jiangsu Highstar Battery Manufacturing Co.,Ltd.",China,C3.375 ,ees Europe ,,Other battery technologies | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Uninterruptiblepower supply systems (UPS) | Stationary energy storage forcommercial and industrial applications,,No specific product category available.,Other battery technologies | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Uninterruptiblepower supply systems (UPS) | Stationary energy storage forcommercial and industrial applications,"batteries, ups, uninterruptiblepower, battery, utilities"
401,"Jiangsu Megalion Energy Storage IntegrationTechnology Co., Ltd","Jiangsu Megalion Energy Storage IntegrationTechnology Co., Ltd",China,C3.234 ,ees Europe ,,Inverters | Lithium-based batteries | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Inverters | Lithium-based batteries | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications Secondary Batteries,"batteries, energystorage, inverters, residential, buildings"
402,"LONCIN MOTOR CO.,LTD.","LONCIN MOTOR CO.,LTD.",China,C3.279 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications,"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications Secondary Batteries, Materials & Components","stationaryenergy, stationary, batteries, storage, utilities"
403,MaxLi,MaxLi,China,C3.280 ,ees Europe ,,Lithium-based batteries,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries Secondary Batteries,"lithium, batteries, secondary, based"
404,Menred GmbH,Menred GmbH,Germany,C3.137 ,ees Europe ,,Lithium-based batteries | Battery management systems |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS),"Secondary Batteries, Materials & Components, Inspection & Measurement Equipment","This company specializes in Secondary Batteries, Materials & Components, Inspection & Measurement Equipment.","Lithium-based batteries | Battery management systems |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) Secondary Batteries, Materials & Components, Inspection & Measurement Equipment","batteries, ups, lithium, battery, storage"
405,Multi Source Power,Multi Source Power,United Kingdom,C3.170 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications,Secondary Batteries,This company specializes in Secondary Batteries.,Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications Secondary Batteries,"stationary, batteries, storage, utilities, energy"
406,NGEN d.o.o.,NGEN d.o.o.,Slovenia,C3.319 ,ees Europe ,,"Lithium -based batteries | Battery m anagem ent system s | ACcharging system s | Electricity trading and m arketing tools(power supply, distribution via direct and flexibility m arkets) |Grid m anagem ent technologies and services, grid system services, grid Monitoring | Virtual power plants/combined powerplants | Products and services for sm art grids | Weather andperform ance/Yield forecasts & grid integration of renewableenergy system s | Hom e energy m anagem ent solutions (HEMS) |Energy m anagem ent, monitoring, controlling and loadm anagem ent | Flexibility m anagem ent (loadm anagem ent/dem and response) | Research and developm ent |Engineering services | DER m anagem ent & system integration |Cybersecurity | Digitalisation, data m anagem ent & analytics, IoT| Sm art energy m anagem ent system s for buildings and districts",Secondary Batteries,This company specializes in Secondary Batteries.,"Lithium -based batteries | Battery m anagem ent system s | ACcharging system s | Electricity trading and m arketing tools(power supply, distribution via direct and flexibility m arkets) |Grid m anagem ent technologies and services, grid system services, grid Monitoring | Virtual power plants/combined powerplants | Products and services for sm art grids | Weather andperform ance/Yield forecasts & grid integration of renewableenergy system s | Hom e energy m anagem ent solutions (HEMS) |Energy m anagem ent, monitoring, controlling and loadm anagem ent | Flexibility m anagem ent (loadm anagem ent/dem and response) | Research and developm ent |Engineering services | DER m anagem ent & system integration |Cybersecurity | Digitalisation, data m anagem ent & analytics, IoT| Sm art energy m anagem ent system s for buildings and districts Secondary Batteries","anagem, powerplants, renewableenergy, ent, batteries"
407,"NR Electric CO., LTD.","NR Electric CO., LTD.",China,C3.330 ,ees Europe ,,"Inverters | Power electronics for storage systems | Stationaryenergy storage for utilities and grid operators | ICT, software forenergy storage systems | Stationary energy storage forcommercial and industrial applications","Secondary Batteries, Manufacturing Equipment","This company specializes in Secondary Batteries, Manufacturing Equipment.","Inverters | Power electronics for storage systems | Stationaryenergy storage for utilities and grid operators | ICT, software forenergy storage systems | Stationary energy storage forcommercial and industrial applications Secondary Batteries, Manufacturing Equipment","inverters, batteries, electronics, storage, utilities"
408,nVent,nVent,Romania,C3.119 ,ees Europe ,,"Cooling/temperature management of storage systems |Charging cables, connector and cable routing systems,housings and other hardware | Products and services for smartgrids | Hydrogen storage, infrastructure, components | Contacts,wiring, insulation for batteries",,No specific product category available.,"Cooling/temperature management of storage systems |Charging cables, connector and cable routing systems,housings and other hardware | Products and services for smartgrids | Hydrogen storage, infrastructure, components | Contacts,wiring, insulation for batteries","smartgrids, cooling, storage, infrastructure, insulation"
409,Oriental Smart Lion (Fujian) Energy StorageTechnology Co.Ltd,Oriental Smart Lion (Fujian) Energy StorageTechnology Co.Ltd,China,C3.277 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications Secondary Batteries,"batteries, ups, lithium, utilitiesand, residentialbuildings"
410,PowerHub Limited,PowerHub Limited,New Zealand,C3.156 ,ees Europe ,,Lithium-based batteries | Automation technology for batteryproduction | Stationary energy storage for utilities and gridoperators | Stationary energy storage for residential buildings |Stationary energy storage for commercial and industrialapplications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Automation technology for batteryproduction | Stationary energy storage for utilities and gridoperators | Stationary energy storage for residential buildings |Stationary energy storage for commercial and industrialapplications Secondary Batteries,"batteryproduction, batteries, lithium, utilities, automation"
411,"PowerLink Energy Tech (UK) Co., LTD.","PowerLink Energy Tech (UK) Co., LTD.",United Kingdom,C3.334,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications Secondary Batteries,"batteries, ups, lithium, utilitiesand, residentialbuildings"
412,"Poweroad Renewable Energy Co., Ltd.","Poweroad Renewable Energy Co., Ltd.",China,C3.160,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications Secondary Batteries,"batteries, lithium, residentialbuildings, stationary, storage"
413,"Qingan Energy Storage Technology (Chongqing)Co., Ltd.","Qingan Energy Storage Technology (Chongqing)Co., Ltd.",China,C3.150 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for commercialand industrial applications | High power charger, megawattcharging systems | Energy management, monitoring, controllingand load management",Secondary Batteries,This company specializes in Secondary Batteries.,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for commercialand industrial applications | High power charger, megawattcharging systems | Energy management, monitoring, controllingand load management Secondary Batteries","batteries, lithium, utilitiesand, storage, charger"
414,"Rept Battero Energy Co., Ltd.","Rept Battero Energy Co., Ltd.",China,C3.110 ,ees Europe ,,Lithium-based batteries | Battery management systems |Manufacturing equipment for battery moduleproduction/assembly and system installation/assembly |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications,"Secondary Batteries, Manufacturing Equipment","This company specializes in Secondary Batteries, Manufacturing Equipment.","Lithium-based batteries | Battery management systems |Manufacturing equipment for battery moduleproduction/assembly and system installation/assembly |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications Secondary Batteries, Manufacturing Equipment","batteries, lithium, battery, storage, equipment"
415,"Roche Energy Technology (Jiangsu) Co., Ltd.","Roche Energy Technology (Jiangsu) Co., Ltd.",China,C3.360 ,ees Europe ,,Battery management systems | Stationary energy storage forutilities and grid operators | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications,"Secondary Batteries, Inspection & Measurement Equipment","This company specializes in Secondary Batteries, Inspection & Measurement Equipment.","Battery management systems | Stationary energy storage forutilities and grid operators | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications Secondary Batteries, Inspection & Measurement Equipment","batteries, battery, stationary, storage, buildings"
416,"Shanghai Robestec Energy Co., Ltd.","Shanghai Robestec Energy Co., Ltd.",China,C3.370 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications,"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications Secondary Batteries, Materials & Components","stationaryenergy, stationary, batteries, storage, utilities"
417,"Shenzhen Ace Battery Co.,Ltd.","Shenzhen Ace Battery Co.,Ltd.",China,C3.180 ,ees Europe ,,Inverters | Battery Materials | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications,"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Inverters | Battery Materials | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications Secondary Batteries, Materials & Components","inverters, batteries, battery, storage, stationary"
418,"Shenzhen Biwatt Technology Co., Ltd.","Shenzhen Biwatt Technology Co., Ltd.",China,C3.335 ,ees Europe ,,Other battery technologies | Lithium-based batteries | Stationaryenergy storage for residential buildings | Uninterruptible powersupply systems (UPS),"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Other battery technologies | Lithium-based batteries | Stationaryenergy storage for residential buildings | Uninterruptible powersupply systems (UPS) Secondary Batteries, Materials & Components","batteries, ups, battery, lithium, storage"
419,Shenzhen FBTech Electronics Ltd,Shenzhen FBTech Electronics Ltd,China,C3.356 ,ees Europe ,,Solar cells | Lithium-based batteries | Stationary energy storagefor utilities and grid operators | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications,Secondary Batteries,This company specializes in Secondary Batteries.,Solar cells | Lithium-based batteries | Stationary energy storagefor utilities and grid operators | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications Secondary Batteries,"batteries, solar, storage, stationary, lithium"
420,"Shenzhen GSL Energy Co., Ltd.","Shenzhen GSL Energy Co., Ltd.",China,C3.475,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications,Secondary Batteries,This company specializes in Secondary Batteries.,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications Secondary Batteries,"batteries, ups, lithium, utilitiesand, residentialbuildings"
421,"Shenzhen Hello Tech Energy Co., Ltd.","Shenzhen Hello Tech Energy Co., Ltd.",China,C3.340,ees Europe ,,"Lithium-based batteries | Energy Storage for low-capacitymobile applications (smartphones, laptops, tablets, etc.) |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications",Secondary Batteries,This company specializes in Secondary Batteries.,"Lithium-based batteries | Energy Storage for low-capacitymobile applications (smartphones, laptops, tablets, etc.) |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications Secondary Batteries","batteries, lithium, storage, stationaryenergy, smartphones"
422,"Shenzhen Kerui Power Storage Co., LTD","Shenzhen Kerui Power Storage Co., LTD",China,C3.158,ees Europe ,,"Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings","Secondary Batteries, Capacitors, Materials & Components","This company specializes in Secondary Batteries, Capacitors, Materials & Components.","Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings Secondary Batteries, Capacitors, Materials & Components","storage, batteries, smartphones, energy, capacitors"
