No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
256,GREINER Schaltanlagen GmbH ,GREINER Schaltanlagen GmbH ,Germany ,B0.356 ,ees Europe ,,"Stand-alone systems, off-grid systems | Monitoring andmeasuring technology | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Stationaryenergy storage for residential buildings | Uninterruptible powersupply systems (UPS) | ICT, software for energy storagesystems | Stationary energy storage for commercial andindustrial applications | AC charging systems | Gridinfrastructure (e.g. transformers, substations, secondarysubstations) | Home energy management solutions (HEMS) |Energy management, monitoring, controlling and loadmanagement | Smart energy management systems forbuildings and distri"
257,Hydrostor Inc. ,Hydrostor Inc.,Canada ,B0.240,ees Europe ,,Stationary energy storage for utilities and grid operators
258,Zonergy Company Limited ,Zonergy Company Limited,China,B1.390 ,ees Europe ,,Lithium-based batteries | Manufacturing equipment for batterymodule production/assembly and system installation/assembly| Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
259,Karlsruher Institut für Technologie (KIT) -Elektrotechnisches Institut (ETI) ,Karlsruher Institut für Technologie (KIT) -Elektrotechnisches Institut (ETI) ,Germany,B0.230 ,ees Europe ,,Lithium-based batteries | Redox flow batteries | Stationaryenergy storage for residential buildings | Solar mobility andcharging solutions as well as vehicle-integrated PV (ViPV) |Smart energy management systems for buildings and districts
260,Lemberg Solutions,Lemberg Solutions,Germany,B0.257,ees Europe ,,"EPC contracting/project development for energy storagesystems | Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | User interface, backend,ICT, software and apps | ICT, embedded systems and software |Apps, products and services"
261,Leoch Europe S.A.,Leoch Europe S.A.,Greece ,B0.256 ,ees Europe ,,(Ultra)capacitors | Lead-based batteries | Lithium-basedbatteries | Other energy storage technologies | Battery Chargers| Battery management systems | Stationary energy storage forutilities and grid operators | Stationary energy storage forresidential buildings | Uninterruptible power supply systems(UPS) | Stationary energy storage for commercial and industrialapplications | Battery housing
262,Maschinenfabrik Reinhausen GmbH ,Maschinenfabrik Reinhausen GmbH,Germany ,B0.330,ees Europe ,,"Stationary energy storage for commercial and industrialapplications | High power charger, megawatt charging systems |AC charging systems | DC charging systems"
263,Miba Battery Systems GmbH ,Miba Battery Systems GmbH,Austria,B0.110,ees Europe ,,Lithium-based batteries | Cooling/temperature management of storage systems | Stationary energy storage for residential buildings | Stationary energy storage for commercial and industrial applications
264,Moxa Europe GmbH,Moxa Europe GmbH ,Germany,B0.261 ,ees Europe ,,Automation technology | Monitoring and measuring technology| Other energy storage technologies | Battery managementsystems | Cybersecurity
265,MPS Germany GmbH,MPS Germany GmbH,Germany,B0.127 ,ees Europe ,," Battery testing, inspection systems, safety | Battery Chargers | Power electronics for storage systems | Battery management systems | Stationary energy storage for commercial and industrial applications"
266,Off-Grid Europe GmbH ,Off-Grid Europe GmbH ,Germany,B0.341 ,ees Europe ,,"Stand-alone systems, off-grid systems | Battery managementsystems | EPC contracting/project development for energystorage systems | Stationary energy storage for commercial andindustrial applications | Research and development"
267,ONERGY POWER s.r.o.,ONERGY POWER s.r.o. ,Czech Republic,B0.350,ees Europe ,,Lithium-based batteries | Battery management systems |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
268,Polar Night Energy Oy ,Polar Night Energy Oy ,Finland,B0.149 ,ees Europe ,,Other energy storage technologies
269,Polarium Energy Solutions,Polarium Energy Solutions,Sweden,B0.220 ,ees Europe ,,Lithium-based batteries
270,"PolyJoule, Inc","PolyJoule, Inc.",United States ,B0.251 ,ees Europe ,,Other battery technologies | Stationary energy storage forutilities and grid operators | Stationary energy storage forresidential buildings | Uninterruptible power supply systems(UPS) | Stationary energy storage for commercial and industrialapplications
271,Protex BV - KonkaEnergy,Protex BV - KonkaEnergy ,Netherlands,B0.226,ees Europe ,,"Other battery technologies | Lithium-based batteries | Highpower charger, megawatt charging systems | DC chargingsystems"
272,SIG Energy Technology,SIG Energy Technology ,France,B0.320 ,ees Europe ,,"Lithium-based batteries | Battery testing, inspection systems,safety | Stationary energy storage for commercial and industrialapplications"
273,Sol Research GmbH,Sol Research GmbH,Germany ,B0.360 ,ees Europe ,,"Stand-alone systems, off-grid systems | Inverters | EnergyStorage for low-capacity mobile applications (smartphones,laptops, tablets, etc.) | Stationary energy storage for residentialbuildings | Energy management, monitoring, controlling andload management"
274,Toshiba Electronics Europe GmbH ,Toshiba Electronics Europe GmbH ,Germany,B0.109 ,ees Europe ,, Lithium-based batteries | Other energy storage technologies
275,Trasf Eco Srl ,Trasf Eco Sr,Italy,B0.125,ees Europe ,, Uninterruptible power supply systems (UPS)
276,VisBlue,VisBlue,Denmark ,B0.246 ,ees Europe ,,Redox flow batteries | Stationary energy storage for commercialand industrial applications
277,VoltStorage GmbH ,VoltStorage GmbH ,Germany,B0.216 ,ees Europe ,,"Redox flow batteries | Stationary energy storage for utilities andgrid operators | Stationary energy storage for commercial andindustrial applications | Carbon Footprint calculation, reductionand offsetting"
278,Wright Energy Storage Technologies ,Wright Energy Storage Technologies,South Africa,B0.134,ees Europe ,," Other battery technologies | EPC contracting/project development for energy storage systems | Stationary energy storage for utilities and grid operators | Stationary energy storage for residential buildings | Uninterruptible power supply systems (UPS) | ICT, software for energy storage systems | Stationary energy storage for commercial and industrial applications | High power charger, megawatt charging systems | DC charging systems"
279,"Afore New Energy Technology (Shanghai) Co.,Ltd. ","Afore New Energy Technology (Shanghai) Co.,Ltd.",China,B4.260 ,ees Europe ,,Inverters | Lithium-based batteries | Stationary energy storagefor residential buildings | Stationary energy storage forcommercial and industrial applications
280,"Alpha Lithium Energy Storage Technology (Xi'an)Co, Ltd ","Alpha Lithium Energy Storage Technology (Xi'an)Co, Ltd",China,C1.360 ,ees Europe ,,Lithium-based batteries | Cooling/temperature management ofstorage systems | Automation technology for battery production| Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
281,CBoom International GmbH ,CBoom International GmbH ,Germany,C1.274,ees Europe ,,Lithium-based batteries | Stationary energy storage for residential buildings | Stationary energy storage for commercial and industrial applications | Stationary energy storage for utilities and grid operators | Battery Materials | Manufacturing equipment for battery module production/assembly and system installation/assembly
282,CNBM Germany GmbH ,CNBM Germany GmbH ,Germany,C1.630 ,ees Europe ,,Stationary energy storage for residential buildings | Stationary energy storage for commercial and industrial applications | Power electronics for storage systems
283,ECACTUS B.V.,ECACTUS B.V. ,Netherlands ,C1.380,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications | AC charging systems | DC chargingsystems
284,Envision Energy CoE GmbH ,Envision Energy CoE GmbH ,Germany,C1.450 ,ees Europe ,,Stationary energy storage for utilities and grid operators
285,Esysunhome New Energy Technology GmbH,Esysunhome New Energy Technology GmbH ,Germany,C1.190 ,ees Europe ,,Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
286,FAAM - FIB SPA,FAAM - FIB SPA ,Italy ,C1.390,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
287,"Gobel Power Energy (Shenzhen) Co., Ltd.","Gobel Power Energy (Shenzhen) Co., Ltd.",China ,C1.375 ,ees Europe ,,Lithium-based batteries | Battery management systems
288,Gotion High-Tech ,Gotion High-Tech,China ,C1.350,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
289,"Guangzhou Great Power Energy & Technology Co.,Ltd.","Guangzhou Great Power Energy & Technology Co.,Ltd.",China ,C1.210 ,ees Europe ,,Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
290,"Huizhou Desay Battery Co., Ltd.","Huizhou Desay Battery Co., Ltd.",China ,C1.460 ,ees Europe ,,"Lithium-based batteries | Battery Materials | Energy Storage forlow-capacity mobile applications (smartphones, laptops,tablets, etc.) | Stationary energy storage for residential buildings| Stationary energy storage for commercial and industrialapplications"
291,well ,iwell ,Germany ,C1.270 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
292,Jonsol GmbH ,Jonsol GmbH ,Germany ,C1.290 ,ees Europe ,,Crystalline modules | Lithium-based batteries | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications | DCcharging systems
293,Karyn International INC ,Karyn International INC,United States ,C1.480,ees Europe ,,Lead-based batteries | Lithium-based batteries
294,Kontek Kontrol Teknolojileri ve Otomasyon San.Tic. A.S,Kontek Kontrol Teknolojileri ve Otomasyon San.Tic. A.S,Turkiye,C1.280 ,ees Europe ,,EPC contracting/project development for energy storagesystems | Stationary energy storage for commercial andindustrial applications
295,NPP Power Europe B.V.,NPP Power Europe B.V. ,Netherlands,C1.220 ,ees Europe ,,Lead-based batteries | Lithium-based batteries
296,POWEROAK GmbH,POWEROAK GmbH,Germany,C1.476 ,ees Europe ,,EPC contracting/project development for energy storagesystems | Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS)
297,"Shanghai PYTES Energy Co., Ltd.","Shanghai PYTES Energy Co., Ltd.",China ,C1.640 ,ees Europe ,,Lithium-based batteries | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
298,"Shanghai Sunnic New Energy Technology Co., Ltd","Shanghai Sunnic New Energy Technology Co., Ltd ",China ,C1.550 ,ees Europe ,,Solar cells | Stationary energy storage for utilities and gridoperators | Stationary energy storage for commercial andindustrial applications | DC charging systems
299,"Shenghong Ligend Power Co., Ltd.","Shenghong Ligend Power Co., Ltd. ",China ,C1.560 ,ees Europe ,,"Lithium-based batteries | Battery testing, inspection systems,safety | Stationary energy storage for utilities and grid operators| Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications"
300,"Shenzhen CLOU Electronics Co., Ltd.","Shenzhen CLOU Electronics Co., Ltd.",China ,C1.559 ,ees Europe ,,Power electronics for storage systems | Battery managementsystems | Stationary energy storage for utilities and gridoperators | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications
301,"Sichuan Aviation Electrical Micro Energy Co., Ltd.","Sichuan Aviation Electrical Micro Energy Co., Ltd.",China ,C1.470 ,ees Europe ,,"Inverters | Battery management systems | Energy Storage forlow-capacity mobile applications (smartphones, laptops,tablets, etc.) | Stationary energy storage for residential buildings"
302,Absen Energy ,Absen Energy ,China ,C2.13,ees Europe ,,"Lithium-based batteries | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications | Home energy managementsolutions (HEMS) | Energy management, monitoring, controllingand load management"
303,"Beijing XD Battery Technology Co., LTD. ","Beijing XD Battery Technology Co., LTD. ",China ,C2.572 ,ees Europe ,,Lithium-based batteries
304,BMZ Group,BMZ Group ,Germany ,C2.240,ees Europe ,,Lithium-based batteries | Stationary energy storage for residential buildings | Stationary energy storage for commercial and industrial applications 
305,"Bescore New Energy Technology (Qingdao) Co.,Ltd.","Bescore New Energy Technology (Qingdao) Co.,Ltd.",China,C2.250 ,ees Europe ,,Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
306,"BSL New Energy Technology Co., Ltd ","BSL New Energy Technology Co., Ltd ",China,C2.660,ees Europe ,,Lead-based batteries | Lithium-based batteries
307,CE+T Power,CE+T Power,Belgium ,C2.139 ,ees Europe ,,Power electronics for storage systems | Stationary energystorage for utilities and grid operators | Uninterruptible powersupply systems (UPS) | Stationary energy storage forcommercial and industrial applications
308,"CEA Group International Co., Ltd","CEA Group International Co., Ltd",China ,C2.371 ,ees Europe ,,Lithium-based batteries
309,"CEEC Energy Storage Technology (Wuhan) Co.,Ltd. ","CEEC Energy Storage Technology (Wuhan) Co.,Ltd. ",China ,C2.180 ,ees Europe ,,Battery management systems | Stationary energy storage forutilities and grid operators | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
310,"Ceepower Co., Ltd. ","Ceepower Co., Ltd.",China ,C2.780 ,ees Europe ,,"Collectors, absorbers | PV systems for residential buildings | Stationary energy storage for residential buildings | Battery management systems | Vehicle-to-X, bi-directional charging"
311,"CIEC Haihua International Exhibition Co., Ltd ","CIEC Haihua International Exhibition Co., Ltd",China ,C2.530 ,ees Europe ,,"Battery testing, inspection systems, safety | Manufacturingequipment for battery module production/assembly and systeminstallation/assembly | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications"
312,"Contemporary Nebula Technology Energy Co., Ltd.","Contemporary Nebula Technology Energy Co., Ltd.",China ,C2.360 ,ees Europe ,,"Battery testing, inspection systems, safety | Batterymanagement systems | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications"
313,Cubenergy GmbH,Cubenergy GmbH,Germany ,C2.130,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
314,"Dongguan Hinen New Energy Technology Co., Ltd ","Dongguan Hinen New Energy Technology Co., Ltd ",China ,C2.280 ,ees Europe ,,Inverters | Lithium-based batteries | Stationary energy storagefor residential buildings | Uninterruptible power supply systems(UPS) | Stationary energy storage for commercial and industrialapplications
315,"Eitai (Xiamen) New Energy Technology Co., Ltd","Eitai (Xiamen) New Energy Technology Co., Ltd",China ,C2.272,ees Europe ,,"Crystalline modules | Inverters | Lithium-based batteries | EnergyStorage for low-capacity mobile applications (smartphones,laptops, tablets, etc.) | Stationary energy storage for residentialbuildings"
316,EKOS Electric ,EKOS Electric,Turkiye ,C2.151 ,ees Europe ,,Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications | Mobility as a Service (MaaS)
317,Energy S.p.A.,Energy S.p.A. ,Italy ,C2.450 ,ees Europe ,,"Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for utilities and grid operators | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications"
318,Evyon AS ,Evyon AS,Norway ,C2.355 ,ees Europe ,,"Lithium-based batteries | Battery recycling/second use | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications"
319,"Far East Battery Jiangsu Co., Ltd ","Far East Battery Jiangsu Co., Ltd ",China ,C2.550 ,ees Europe ,,Manufacturing equipment for battery moduleproduction/assembly and system installation/assembly |Automation technology for battery production | Stationaryenergy storage for utilities and grid operators | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications
320,Fluence Energy GmbH ,Fluence Energy GmbH,Germany ,C2.420,ees Europe ,,"Other battery technologies | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Products andservices for smart grids | Digitalisation, data management &analytics, IoT"
321,"Fujian BETTENERGY Technology Co., Ltd ","Fujian BETTENERGY Technology Co., Ltd ",China ,C2.454 ,ees Europe ,,Lithium-based batteries | Stationary energy storage forresidential buildings
322, GivEnergy Europe BV ,GivEnergy Europe BV ,Netherlands ,C2.140 ,ees Europe ,,"Lithium-based batteries | Manufacturing equipment for batterymodule production/assembly and system installation/assembly| Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications | ACcharging systems | Home energy management solutions(HEMS) | Energy management, monitoring, controlling and loadmanagement | Fleet management solutions | Apps, productsand services"
323,GLOCK Ecotech GmbH ,GLOCK Ecotech GmbH ,Austria,C2.160,ees Europe ,,"Stationary energy storage for commercial and industrialapplications | Products and services for microgrids | Combinedheat, (cooling) and power systems | DER management & systemintegration | Other renewable energy systems (biomass, wind,hydro etc.)"
324,"GreenOE Technology Co., Ltd.","GreenOE Technology Co., Ltd.",China,C2.576,ees Europe ,,"Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.)"
325,"Guangzhou Rongjie Energy Technology Co., Ltd","Guangzhou Rongjie Energy Technology Co., Ltd.",China,C2.560,ees Europe ,,Lead-based batteries | Other battery technologies | Lithiumbasedbatteries | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
326,"Hangzhou Espark New Energy Co.,Ltd ","Hangzhou Espark New Energy Co.,Ltd ",China,C2.676 ,ees Europe ,,"Lithium-based batteries | Energy Storage for low-capacitymobile applications (smartphones, laptops, tablets, etc.) |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications"
327,"Hangzhou Huasu Technology Co., Ltd ","Hangzhou Huasu Technology Co., Ltd ",China,C2.574 ,ees Europe ,,Battery management systems | Stationary energy storage forutilities and grid operators | Stationary energy storage forcommercial and industrial applications
328,"Hoenergy Power Technology Co., Ltd. ","Hoenergy Power Technology Co., Ltd. ",China,C2.155 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
329,"Hunan GCE Technology Co.,Ltd.","Hunan GCE Technology Co.,Ltd.",China,C2.377 ,ees Europe ,,Other energy storage technologies | Battery managementsystems | Stationary energy storage for residential buildings |Stationary energy storage for commercial and industrialapplications
330,"Hunan Hametech Technology Co.,Limited ","Hunan Hametech Technology Co.,Limited ",China,C2.210,ees Europe ,,"Other battery technologies | Lithium-based batteries | Powerelectronics for storage systems | Energy Storage for lowcapacitymobile applications (smartphones, laptops, tablets,etc.) | Stationary energy storage for residential buildings"
331,Inovat Mühendislik Sanayi Ticaret a.s. ,Inovat Mühendislik Sanayi Ticaret a.s.,Turkiye,C2.554 ,ees Europe ,,"Stationary energy storage for utilities and grid operators | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications | Virtual powerplants/combined power plants | DER management & systemintegration"
332,"iPotisEdge Co., Ltd.","iPotisEdge Co., Ltd.",China ,C2.290,ees Europe ,,Lithium-based batteries | Battery management systems |Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
333,"Jiangsu CCPIT International Conference &Exhibition Co., Ltd.","Jiangsu CCPIT International Conference &Exhibition Co., Ltd.",China ,C2.370 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
334,"Jiangsu Oliter Energy Technology Co., Ltd ","Jiangsu Oliter Energy Technology Co., Ltd ",China ,C2.650 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
