No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
335,MAS Elektronik AG,MAS Elektronik AG ,Germany ,C2.654 ,ees Europe ,,"Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications |Contacts, wiring, insulation for batteries"
336,Mercedes-Benz Energy GmbH,Mercedes-Benz Energy GmbH ,Germany ,C2.310 ,ees Europe ,,Lithium-based batteries | Battery recycling/second use |Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
337,"MICA POWER CO., LTD.","MICA POWER CO., LTD.",China,C2.137,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
338,"Nahui Renewable Energy Technology Co.,Ltd","Nahui Renewable Energy Technology Co.,Ltd ",China,C2.150 ,ees Europe ,,"Power electronics for storage systems | Battery managementsystems | Uninterruptible power supply systems (UPS) | ICT,software for energy storage systems"
339,Nala Energy GmbH ,Nala Energy GmbH ,Germany,C2.254,ees Europe ,,Other battery technologies | Other energy storage technologies |EPC contracting/project development for energy storagesystems | Stationary energy storage for utilities and gridoperators
340,NHOA Energy S.r.l.,NHOA Energy S.r.l.,Italy,C2.179 ,ees Europe ,,Lithium-based batteries | Manufacturing equipment for batterymodule production/assembly and system installation/assembly| Stationary energy storage for utilities and grid operators
341,"PCENERSYS (Shenzhen) Co., Ltd. ","PCENERSYS (Shenzhen) Co., Ltd.",China ,C2.774,ees Europe ,,Lithium-based batteries | Battery management systems
342,Pixii AS ,Pixii AS,Norway,C2.220 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
343,Pomega Energy Storage Technologies Inc.,Pomega Energy Storage Technologies Inc.,Turkiye,C2.655 ,ees Europe ,,Lithium-based batteries | Battery recycling/second use | EPCcontracting/project development for energy storage systems |Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
344,Powin LLC ,Powin LLC,United States ,C2.340 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators
345,"Qingdao Angile Energy Tech Co., Ltd ","Qingdao Angile Energy Tech Co., Ltd ",China ,C2.580 ,ees Europe ,,Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
346,"Resources Technology Co., Ltd","Resources Technology Co., Ltd",China ,C2.776 ,ees Europe ,,Inverters | Lithium-based batteries | Stationary energy storagefor utilities and grid operators | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
347,RVA Energietechnick GmbH & Co. KG ,RVA Energietechnick GmbH & Co. KG ,Germany,C2.610 ,ees Europe ,,Lithium-based batteries | Stationary energy storage forcommercial and industrial applications | Traction battery andinfrastructure | Light electric vehicles (LEV) | Commercial &special electric vehicles
348,Sentisina GmbH ,Sentisina GmbH,Germany,C2.570 ,ees Europe ,,Lithium-based batteries
349,Shanghai Sermatec Energy Technology Co. Ltd. ,Shanghai Sermatec Energy Technology Co. Ltd.,China ,C2.460 ,ees Europe ,,Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
350,"Shenzhen Doke Electronic Co., Ltd ","Shenzhen Doke Electronic Co., Ltd ",China ,C2.777,ees Europe ,,"Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.)"
351,"Shenzhen Eel Battery Co., Ltd. ","Shenzhen Eel Battery Co., Ltd.",China ,C2.379 ,ees Europe ,,Lithium-based batteries | Battery management systems |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications |Battery housing
352,"Shenzhen Envicool Technology Co., Ltd","Shenzhen Envicool Technology Co., Ltd ",China ,C2.171 ,ees Europe ,,Other energy storage technologies
353,"Shenzhen Grenergy Technology Co.,Ltd ","Shenzhen Grenergy Technology Co.,Ltd",China ,C2.373 ,ees Europe ,,Lead-based batteries | Lithium-based batteries | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications | Lightelectric vehicles (LEV)
354,"SHENZHEN HUAHANG ENERGY CO., LTD ","SHENZHEN HUAHANG ENERGY CO., LTD ",China ,C2.375 ,ees Europe ,,Lithium-based batteries
355,"Shenzhen Shine Well Power Technology Co., Ltd. ","Shenzhen Shine Well Power Technology Co., Ltd.",China ,C2.274 ,ees Europe ,,Lithium-based batteries | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
356,"Shenzhen Sinexcel Electric Co.,Ltd.","Shenzhen Sinexcel Electric Co.,Ltd. ",China ,C2.110 ,ees Europe ,,Power electronics for storage systems | Stationary energystorage for utilities and grid operators | Stationary energystorage for commercial and industrial applications
357,Shenzhen UZ Energy Limited ,Shenzhen UZ Energy Limited ,China ,C2.620 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
358,"Shenzhen Wodefeng Technology Co.,Ltd. ","Shenzhen Wodefeng Technology Co.,Ltd.",China ,C2.358 ,ees Europe ,,"Stationary energy storage for utilities and grid operators |Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings | Uninterruptible power supply systems(UPS) | Stationary energy storage for commercial and industrialapplications"
359,"Shenzhen Zetara Power System Co.,Ltd ","Shenzhen Zetara Power System Co.,Ltd ",China ,C2.670,ees Europe ,,Lithium-based batteries | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
360,Solar Kit Hungary Kft,Solar Kit Hungary Kft ,Hungary,C2.616,ees Europe ,,"Crystalline modules | Mounting systems, installation aids | PVcomponents (cables, connectors, junction boxes, etc.) | Lithiumbasedbatteries"
361,"SolarEast Energy Storage Technology Co., Ltd ","SolarEast Energy Storage Technology Co., Ltd ",China ,C2.770 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
362,Solinteg GmbH,Solinteg GmbH ,Germany ,C2.120 ,ees Europe ,,"Inverters | Lithium-based batteries | Stationary energy storagefor residential buildings | Stationary energy storage forcommercial and industrial applications | Energy management,monitoring, controlling and load management"
